"","x"
"1",0
"2",156.892539356577
"3",279.808350444858
"4",281.806981519503
"5",405.722108145065
"6",417.713894592767
"7",421.711156741974
"8",431.704312114948
"9",647.556468172505
"10",727.501711156715
"11",739.493497604417
"12",772.470910335348
"13",838.425735797377
"14",1070.26694045176
"15",1895.70157426424
"16",1935.6741957563
"17",1947.665982204
"18",1976.64613278573
"19",2166.5160848734
"20",2263.4496919918
"21",2328.40520191647
"22",2514.27789185485
"23",2537.26214921289
"24",2629.19917864472
"25",2826.06433949353
"26",3256.76933607119
"27",3272.75838466802
"28",3426.65297741275
"29",3521.58795345651
"30",3546.57084188911
"31",3565.55783709786
"32",3643.50444900751
"33",3845.3661875428
"34",3881.34154688566
"35",3991.26625598904
"36",4267.07734428469
"37",4283.0663928816
"38",4371.00616016431
"39",4595.85215605747
"40",4648.81587953452
"41",4665.80424366871
"42",5203.43600273783
"43",5390.30800821358
"44",5424.28473648188
"45",5525.21560574948
"46",5566.18754277891
"47",5705.0924024641
"48",5747.06365503081
"49",5748.06297056809
"50",5997.89185489394
"51",6077.83709787815
"52",6080.83504449008
"53",6404.61327857629
"54",6460.57494866526
"55",6491.55373032171
"56",6587.48802190283
"57",6657.44010951406
"58",6698.41204654349
"59",6791.34839151268
"60",6815.33196440792
"61",6906.26967830255
"62",7049.17180013687
"63",7065.16084873378
"64",7092.14236824094
"65",7236.04380561262
"66",7281.01300479125
"67",7287.00889801502
"68",7494.86652977416
"69",7523.84668035589
"70",7635.77002053391
"71",7678.7405886379
"72",7871.60848733742
"73",8005.51676933604
"74",8425.22929500345
"75",8520.1642710472
"76",8645.07871321013
"77",8679.05544147843
"78",8805.96851471591
"79",9023.81930184803
"80",9025.81793292268
"81",9025.81793292268
"82",9403.5592060233
"83",9439.53456536616
"84",9454.5242984257
"85",9485.50308008215
"86",9700.35592060235
"87",9711.34839151269
"88",9848.25462012323
"89",9852.25188227244
"90",9867.24161533198
"91",9939.19233401778
"92",10035.1266255989
"93",10159.0417522245
"94",10209.0075290897
"95",10328.925393566
"96",10531.7864476386
"97",10707.665982204
"98",10762.6283367556
"99",10855.5646817248
"100",10914.5242984257
"101",11229.3086926762
"102",11288.2683093771
"103",11349.2265571527
"104",11350.2258726899
"105",11363.2169746748
"106",11552.0876112251
"107",11896.8514715948
"108",11916.8377823409
"109",11997.7823408624
"110",12283.5865845312
"111",12397.5085557837
"112",12505.4346338125
"113",12693.3059548254
"114",12926.1464750171
"115",12954.1273100616
"116",12976.1122518823
"117",13037.0704996577
"118",13115.0171115674
"119",13213.9493497604
"120",13539.7262149213
"121",13814.5379876797
"122",13868.5010266941
"123",14085.3524982888
"124",14198.2751540041
"125",14230.2532511978
"126",14617.9876796715
"127",14768.8843258043
"128",15129.6372347707
"129",15441.4236824093
"130",15795.1813826146
"131",16101.9712525667
"132",16376.7830253251
"133",16454.7296372347
"134",16471.7180013689
"135",17675.8932238193
"136",18319.4524298426
"137",18786.1327857632
"138",19656.5366187543
"139",19704.5037645448
"140",19827.4195756332
"141",20283.1074606434
"142",20780.7665982204
"143",20829.7330595482
"144",20960.6433949349
"145",21142.5188227242
"146",21397.3442847365
"147",21591.2114989733
"148",21815.0581793292
"149",22380.6707734429
"150",22842.3545516769
"151",23070.1984941821
"152",23875.6468172484
"153",24392.2929500343
"154",26034.1683778234
"155",26088.1314168378
"156",26413.9082819986
"157",27725.0102669405
"158",28072.772073922
"159",28817.2621492129
"160",29034.1136208076
"161",29154.0314852841
"162",29428.8432580425
"163",29448.8295687885
"164",29514.7843942505
"165",29806.5845311431
"166",29810.5817932923
"167",30178.3299110198
"168",30485.119780972
"169",30820.8898015058
"170",30839.8767967145
"171",31168.6516084873
"172",31498.4257357974
"173",31810.212183436
"174",32345.8453114305
"175",32490.7460643395
"176",32565.6947296372
"177",32929.4455852156
"178",32966.4202600958
"179",32985.4072553046
"180",33141.3004791239
"181",33188.2683093771
"182",33317.1800136892
"183",34946.0643394935
"184",34975.0444900752
"185",35191.8959616701
"186",35198.8911704312
"187",35216.8788501027
"188",36573.9493497604
"189",38938.3299110198
"190",39889.6783025325
"191",40521.2457221081
